time,actual,predict
2020-12-11,11.36,4583226.045835021
2020-12-14,11.23,-11764048.00266548
2020-12-15,11.05,2641862.6882036244
2020-12-16,10.88,271171.76198054303
2020-12-17,11.02,-9120255.171545988
2020-12-18,12.08,-5483703.755609458
2020-12-21,13.25,14723925.704845604
2020-12-22,13.45,16337167.592933584
2020-12-23,14.02,8088268.78485998
2020-12-24,14.9,17262963.66355095
2020-12-28,17.07,-6837098.592515392
2020-12-29,16.24,-9525573.890389437
2020-12-30,16.0,-11890011.320215449
2020-12-31,16.77,-31823231.48598812
2021-01-04,15.61,18544289.113393694
2021-01-05,15.09,2656003.2168272114
2021-01-06,14.53,-4858425.059911025
2021-01-07,16.02,-9060447.442146586
2021-01-08,15.9,-73653263.28938644
2021-01-11,14.98,15863341.118302738
2021-01-12,14.62,-3885738.4490041994
2021-01-13,14.0,7714639.375943181
2021-01-14,14.01,-27600579.046371546
2021-01-15,13.24,77177922.5509123
2021-01-19,13.75,7799453.422619585
2021-01-20,13.73,7978833.094071524
2021-01-21,13.59,7851493.030020623
2021-01-22,13.55,43826127.4844657
2021-01-25,13.93,-62295204.559871465
2021-01-26,15.76,38788419.852822274
2021-01-27,14.25,-29686701.751258828
2021-01-28,14.07,32710351.557214826
2021-01-29,13.95,49391553.83454711
2021-02-01,13.81,31547662.9756393
2021-02-02,13.97,31356206.273547836
2021-02-03,13.95,31223033.122493308
2021-02-04,12.23,72953958.33600019
2021-02-05,12.93,495014934.9450277
2021-02-08,12.37,163775122.56510285
2021-02-09,13.16,28714106.136967808
2021-02-10,12.5,-255542977.77029005
2021-02-11,12.01,-132613082.52641244
2021-02-12,12.08,59448636.75933873
2021-02-16,11.49,-83662336.6115882
2021-02-17,11.32,-50526683.65030028
2021-02-18,10.83,-136176452.93177763
2021-02-19,10.98,47401711.61008292
2021-02-22,11.08,66624053.4926226
2021-02-23,10.13,-25481660.99123292
2021-02-24,10.34,-87912888.28366783
2021-02-25,9.71,-76318619.07561614
2021-02-26,9.4,233488277.90157685
2021-03-01,10.37,-112054994.1370239
2021-03-02,9.04,90182651.48963344
2021-03-03,8.29,-96082290.90599038
2021-03-04,7.29,-222065839.20164093
2021-03-05,7.84,15208345.054868242
2021-03-08,7.35,4391923.913080942
2021-03-09,8.19,74745214.27790426
2021-03-10,8.11,-10205169.771415401
2021-03-11,8.67,2980365.3721883465
2021-03-12,8.91,-49331988.56304993
2021-03-15,8.875,-83413780.65844917
2021-03-16,8.61,106618826.7864569
2021-03-17,8.75,-27185397.630167644
2021-03-18,8.47,-244977889.09614816
2021-03-19,8.51,196010751.26343375
2021-03-22,8.79,141408301.74273217
2021-03-23,8.27,-101116649.25676282
2021-03-24,7.67,-51250407.986089066
2021-03-25,7.82,-55505034.19437246
2021-03-26,7.59,29697352.452876657
2021-03-29,7.34,3930015.344747871
2021-03-30,7.19,-12595233.677716197
2021-03-31,7.56,57840556.917588554
2021-04-01,7.38,-69756501.42490026
2021-04-05,7.5,52865509.133532606
2021-04-06,7.61,212846597.53490844
2021-04-07,7.35,4529012.323231088
2021-04-08,8.85,395178665.996289
2021-04-09,8.21,124852337.2176331
2021-04-12,7.82,-80301433.04349448
2021-04-13,7.81,-17631482.69712301
2021-04-14,7.42,111455076.09028158
2021-04-15,7.35,-49090759.8463875
2021-04-16,8.82,448937085.079589
2021-04-19,9.67,-460210825.58491486
2021-04-20,8.62,123884114.90786372
2021-04-21,9.05,-14531011.769118536
2021-04-22,8.5,105857606.34934522
2021-04-23,8.77,45223414.42997403
2021-04-26,9.22,-19425198.021263093
2021-04-27,9.24,47236232.88499528
2021-04-28,10.5,-81164009.74226761
2021-04-29,10.17,74645862.34062088
2021-04-30,9.85,-552367414.7453264
2021-05-03,9.29,-99669982.87106843
2021-05-04,9.06,-731879.1591478498
2021-05-05,8.84,214893357.91058886
2021-05-06,8.23,-70139854.8340384
2021-05-07,8.62,-155207669.09995162
2021-05-10,8.26,42287275.00024728
2021-05-11,8.13,86809186.56622684
2021-05-12,7.78,20832648.255326472
2021-05-13,7.26,24024492.352313478
2021-05-14,7.47,49426995.67140251
2021-05-17,6.82,550714035.502934
2021-05-18,6.97,5864642.751855588
2021-05-19,6.84,-53093723.17832599
2021-05-20,7.13,342599450.89736634
2021-05-21,6.93,494404903.8087194
2021-05-24,6.92,-42165839.03684313
2021-05-25,7.02,195710565.3253944
2021-05-26,7.33,9969071.981168073
2021-05-27,7.83,-574606414.3638164
2021-05-28,7.64,-254454715.70768598
2021-06-01,7.73,150060208.50918916
2021-06-02,8.74,131469320.28805007
2021-06-03,8.94,-105147968.53453405
2021-06-04,9.0,-172411179.24573067
2021-06-07,11.92,234503639.0375473
2021-06-08,22.15,2091458326.0393465
2021-06-09,16.92,-836452415.93945
2021-06-10,14.34,427473822.1770398
2021-06-11,15.03,-1229371585.7794511
2021-06-14,14.66,301424407.4240668
2021-06-15,13.77,-543275023.75581
2021-06-16,12.95,55391786.052485
2021-06-17,12.56,509483538.003756
2021-06-18,12.04,355247770.29542625
2021-06-21,11.24,-487994764.8056394
2021-06-22,12.63,-1074712648.4116511
2021-06-23,13.83,2947875260.7650323
2021-06-24,13.79,568919861.806337
2021-06-25,12.97,-68231043.69896103
2021-06-28,12.8,-209839692.72650102
2021-06-29,13.36,-267811180.852624
